ParentProductGroup,Product,Date,ProductionAUD
,FP-AR Plate,2025-07-01,471949.2
,FP-AR Plate,2025-08-01,185709.0
,FP-AR Plate,2025-09-01,242013.6
,FP-AR Plate,2025-10-01,294786.6
,FP-AR Plate,2025-11-01,297918.6
,FP-AR Plate,2025-12-01,308893.8
,FP-AR Plate,2026-01-01,283045.2
,FP-AR Plate,2026-02-01,325549.8
,FP-AR Plate,2026-03-01,339460.8
,FP-AR Plate,2026-04-01,261550.2
,FP-AR Plate,2026-05-01,254350.2
,FP-AR Plate,2026-06-01,296665.2
,FP-AR Plate,2026-07-01,1159150.2
,FP-AR Plate,2026-08-01,299065.2
,FP-AR Plate,2026-09-01,287050.2
,FP-AR Plate,2026-10-01,308965.2
,FP-AR Plate,2026-11-01,272350.2
,FP-AR Plate,2026-12-01,288850.2
,FP-AR Plate,2027-01-01,314665.2
,FP-AR Plate,2027-02-01,286150.2
,FP-AR Plate,2027-03-01,312865.2
,FP-AR Plate,2027-04-01,274450.2
,FP-AR Plate,2027-05-01,287350.2
,FP-AR Plate,2027-06-01,272650.2
,FP-Composite Liners,2025-07-01,659206.2
,FP-Composite Liners,2025-08-01,475936.8
,FP-Composite Liners,2025-09-01,938140.2
,FP-Composite Liners,2025-10-01,712278.0
,FP-Composite Liners,2025-11-01,615823.8
,FP-Composite Liners,2025-12-01,731287.2
,FP-Composite Liners,2026-01-01,750129.6
,FP-Composite Liners,2026-02-01,833062.2
,FP-Composite Liners,2026-03-01,1044354.0
,FP-Composite Liners,2026-04-01,876786.6
,FP-Composite Liners,2026-05-01,848038.8
,FP-Composite Liners,2026-06-01,807468.0
,FP-Composite Liners,2026-07-01,841083.0
,FP-Composite Liners,2026-08-01,866054.4
,FP-Composite Liners,2026-09-01,983348.4
,FP-Composite Liners,2026-10-01,871692.0
,FP-Composite Liners,2026-11-01,855254.4
,FP-Composite Liners,2026-12-01,801468.0
,FP-Composite Liners,2027-01-01,879492.0
,FP-Composite Liners,2027-02-01,876492.0
,FP-Composite Liners,2027-03-01,1107517.2
,FP-Composite Liners,2027-04-01,925295.4
,FP-Composite Liners,2027-05-01,848795.4
,FP-Composite Liners,2027-06-01,850595.4
,MO-Industrial,2025-07-01,98776.6
