,YearMonth,Tonnes
0,202409.0,0.184
1,202409.0,0.288
2,202409.0,0.072
3,202409.0,1.2027999999999999
4,202409.0,0.2625
5,202409.0,0.07080000000000002
6,202409.0,0.07080000000000002
7,202409.0,0.4248
8,202409.0,0.03540000000000001
9,202409.0,0.31860000000000005
10,202409.0,0.015
11,202409.0,0.03
12,202409.0,0.27
13,202409.0,2.38
14,202409.0,1.904
15,202409.0,0.152
16,202409.0,0.1988
17,202409.0,1.2
18,202409.0,0.81
19,202409.0,0.5064000000000001
20,202409.0,0.0422
21,202409.0,0.152
22,202409.0,0.19
23,202409.0,0.532
24,202409.0,0.038
25,202409.0,0.076
26,202409.0,0.152
27,202409.0,0.152
28,202409.0,0.152
29,202409.0,1.206
30,202409.0,0.018
31,202409.0,0.9660000000000001
32,202409.0,0.032
33,202409.0,0.032
34,202409.0,0.944
35,202409.0,0.708
36,202409.0,0.3
37,202410.0,0.032
38,202410.0,0.6512
39,202410.0,1.056
40,202409.0,0.032
41,202409.0,2.21
42,202410.0,0.2284
43,202410.0,0.212
44,202410.0,0.212
45,202410.0,0.368
46,202410.0,0.309
47,202410.0,0.204
48,202410.0,0.14
49,202410.0,0.304
50,202410.0,0.336
51,202409.0,0.088
52,202409.0,0.33
53,202409.0,0.468
54,202409.0,1.008
55,202410.0,0.3456
56,202410.0,0.5328
57,202410.0,0.032
58,202410.0,1.0452000000000001
59,202409.0,0.15
60,202409.0,0.472
61,202409.0,0.27257
62,202409.0,0.78
63,202409.0,
64,202409.0,
65,202409.0,
66,202409.0,0.168
67,202409.0,0.24780000000000002
68,202409.0,0.7936
69,202409.0,0.48240000000000005
70,202409.0,0.032
71,202409.0,0.033
72,202409.0,0.165
73,202409.0,0.165
74,202409.0,
75,202410.0,1.1248
76,202410.0,0.432
77,202410.0,0.032
78,202409.0,0.07680000000000001
79,202409.0,0.07680000000000001
80,202409.0,
81,202409.0,0.0564
82,202409.0,0.3384
83,202409.0,0.1815
84,202409.0,0.07
85,202409.0,0.16
86,202409.0,0.22
87,202409.0,0.166
88,202409.0,0.177
89,202409.0,
90,202409.0,0.044
91,202409.0,0.84
92,202409.0,0.1184
93,202409.0,0.48
94,202409.0,0.116
95,202409.0,0.032
96,202409.0,0.07479999999999999
97,202409.0,1.14
98,202409.0,0.3976
99,202409.0,0.5964
100,202409.0,1.5912
101,202409.0,0.6188
102,202410.0,0.2912
103,202410.0,0.13439999999999996
104,202410.0,0.094
105,202410.0,0.094
106,202410.0,0.094
107,202410.0,0.432
108,202410.0,0.432
109,202410.0,0.288
110,202409.0,0.238
111,202409.0,0.0476
112,202409.0,0.0484
113,202409.0,0.242
114,202409.0,
115,202409.0,0.748
116,202409.0,0.29919999999999997
117,202409.0,0.5983999999999999
118,202409.0,0.032
119,202409.0,0.08
120,202409.0,0.032
121,202409.0,0.672
122,202409.0,0.346
123,202409.0,0.432
124,202409.0,
125,202410.0,0.7224
126,202410.0,0.7952
127,202410.0,0.552
128,202410.0,
129,202409.0,
130,202409.0,0.044
131,202409.0,0.264
132,202409.0,0.0738
133,202409.0,0.1635
134,202409.0,0.2912
135,202409.0,
136,202410.0,0.334
137,202410.0,0.196
138,202410.0,0.032
139,202410.0,0.72
140,202410.0,0.9016000000000002
141,202409.0,0.504
142,202409.0,0.504
143,202409.0,0.504
144,202409.0,0.504
145,202409.0,0.072
146,202409.0,0.032
147,202409.0,2.21
148,202409.0,0.3
149,202409.0,1.8
150,202409.0,0.258
151,202409.0,0.032
152,202409.0,0.392
153,202409.0,0.032
154,202409.0,0.062
155,202409.0,0.0484
156,202409.0,0.242
157,202409.0,0.8372
158,202409.0,0.0476
159,202409.0,0.1428
160,202409.0,0.032
161,202409.0,2.2512000000000003
162,202409.0,0.032
163,202409.0,2.3187999999999995
164,202410.0,0.224
165,202410.0,0.26
166,202410.0,0.66
167,202410.0,0.22
168,202410.0,0.1988
169,202410.0,0.5964
170,202409.0,0.054
171,202409.0,0.4
172,202409.0,0.63
173,202409.0,0.033
174,202409.0,0.033
175,202409.0,0.33
176,202409.0,0.044
177,202409.0,0.044
178,202409.0,0.352
179,202409.0,1.6576000000000002
180,202409.0,0.032
181,202410.0,0.032
182,202410.0,0.26680000000000004
183,202410.0,0.4752
184,202410.0,0.108
185,202410.0,0.36
186,202410.0,0.24
187,202501.0,0.432
188,202501.0,0.144
189,202501.0,0.09
190,202501.0,0.12
191,202501.0,0.033
192,202501.0,0.462
193,202501.0,0.4
194,202501.0,0.195
195,202409.0,0.032
196,202409.0,0.29919999999999997
197,202409.0,0.748
198,202409.0,0.8228
199,202409.0,0.07479999999999999
200,202409.0,0.2368
201,,0.114
202,,0.076
203,,0.152
204,202410.0,0.032
205,202410.0,0.0576
206,202410.0,0.064
207,202410.0,0.032
208,202410.0,1.12
209,202410.0,0.0296
210,202410.0,0.324
211,202410.0,0.032
212,202410.0,1.118
213,202410.0,0.27
214,202410.0,0.6
215,202410.0,0.39
216,202409.0,
217,202409.0,0.774
218,202409.0,0.032
219,202409.0,0.032
220,202409.0,2.0608
221,202409.0,0.644
222,202409.0,0.0476
223,202409.0,0.238
224,202409.0,0.0476
225,202409.0,0.0484
226,202409.0,0.242
227,202409.0,0.0484
228,202409.0,0.048
229,202409.0,0.145
230,202409.0,0.1296
231,202409.0,0.1296
232,202409.0,0.032
233,202409.0,0.017
234,202409.0,0.0356
235,202409.0,0.528
236,202409.0,0.165
237,202409.0,0.165
238,202408.0,0.184
239,202408.0,0.736
240,202408.0,1.032
241,202410.0,0.6731999999999999
242,202410.0,0.5983999999999999
243,202410.0,0.1114
244,202410.0,0.062
245,202410.0,0.032
246,202410.0,0.064
247,202410.0,0.096
248,202410.0,0.0692
249,202410.0,
250,202410.0,
251,202409.0,0.0484
252,202409.0,0.0484
253,202409.0,0.0476
254,202409.0,0.0476
255,202409.0,0.7936
256,202409.0,0.145
257,202409.0,0.322
258,202409.0,0.034
259,202409.0,0.032
260,202409.0,1.736
