WarehouseCode,TradingName,ProductKey,DateValue,WIPQty,DressMass,WIPMass,TapDate,PeriodStart
H53,Mt Joli,1711-05-01D,2023-03-31,1.0,133.81,0.13381,,
H53,Mt Joli,1711-05-01D,2023-03-31,34.0,133.81,4.54954,,
H53,Mt Joli,1711-05-01D,2023-03-31,1.0,133.81,0.13381,,
H53,Mt Joli,1711-05-01D,2023-03-31,16.0,133.81,2.14096,,
H53,Mt Joli,1733-204-08F,2023-03-31,28.0,2992.8,83.7984,,
H53,Mt Joli,1733-204-08F,2023-03-31,1.0,2992.8,2.9928,,
H53,Mt Joli,1733-204-08F,2023-03-31,29.0,2992.8,86.7912,,
H53,Mt Joli,1733-204-08F,2023-03-31,2.0,2992.8,5.9856,,
H53,Mt Joli,1733-204-04F,2023-03-31,13.0,2293.36,29.81368,,
H53,Mt Joli,1733-204-04F,2023-03-31,3.0,2293.36,6.88008,,
H53,Mt Joli,1733-204-04F,2023-03-31,44.0,2293.36,100.90784,,
H53,Mt Joli,1733-314-01A,2023-03-31,1.0,1344.9,1.3449,,
H53,Mt Joli,1914-102-01A,2023-03-31,1.0,767.93,0.76793,,
H53,Mt Joli,1952-202-03B,2023-03-31,38.0,1807.57,68.68766,,
H53,Mt Joli,1952-202-03B,2023-03-31,5.0,1807.57,9.03785,,
H53,Mt Joli,2013-201-01A,2023-03-31,1.0,98.43,0.09843,,
H53,Mt Joli,1914-103-01A,2023-03-31,1.0,466.29,0.46629,,
H53,Mt Joli,2042-201-01B,2023-03-31,2.0,118.84,0.23768,,
H53,Mt Joli,2042-201-01B,2023-03-31,2.0,118.84,0.23768,,
H53,Mt Joli,BK54804A,2023-03-31,11.0,789.25,8.68175,,
H53,Mt Joli,BK54804A,2023-03-31,2.0,789.25,1.5785,,
H53,Mt Joli,BK54804A,2023-03-31,5.0,789.25,3.94625,,
H53,Mt Joli,2011-202-01A,2023-03-31,1.0,254.47,0.25447,,
H53,Mt Joli,2004-200-03D,2023-03-31,1.0,1198.84,1.19884,,
H53,Mt Joli,1880-200-02C,2023-03-31,2.0,320.24,0.64048,,
H53,Mt Joli,2037-101-01C,2023-03-31,10.0,2146.4,21.464,,
H53,Mt Joli,N7535-2,2023-03-31,1.0,239.95,0.23995,,
H53,Mt Joli,7498-4,2023-03-31,2.0,563.82,1.12764,,
H53,Mt Joli,1944-206-01B,2023-03-31,2.0,1098.6,2.1972,,
H53,Mt Joli,1944-206-01B,2023-03-31,42.0,1098.6,46.1412,,
H53,Mt Joli,1944-206-01B,2023-03-31,11.0,1098.6,12.0846,,
H53,Mt Joli,1944-206-01B,2023-03-31,1.0,1098.6,1.0986,,
H53,Mt Joli,N1511-42-02J,2023-03-31,4.0,699.44,2.79776,,
H53,Mt Joli,1990-106-01D,2023-03-31,15.0,2690.26,40.3539,,
H53,Mt Joli,1990-106-01D,2023-03-31,6.0,2690.26,16.14156,,
H53,Mt Joli,1990-106-01D,2023-03-31,2.0,2690.26,5.38052,,
H53,Mt Joli,N1511-42-03J,2023-03-31,1.0,1108.58,1.10858,,
H53,Mt Joli,1837-101-01B,2023-03-31,1.0,1277.77,1.27777,,
H53,Mt Joli,1802-03-01D,2023-03-31,28.0,570.62,15.97736,,
