WarehouseCode,ProductKey,DateValue,WIPQty,DressMass,WIPMass
H53,1711-05-01D,2023-03-31,1.0,133.81,0.13381
H53,1711-05-01D,2023-03-31,34.0,133.81,4.54954
H53,1711-05-01D,2023-03-31,1.0,133.81,0.13381
H53,1711-05-01D,2023-03-31,16.0,133.81,2.14096
H53,1733-204-08F,2023-03-31,28.0,2992.8,83.7984
H53,1733-204-08F,2023-03-31,1.0,2992.8,2.9928
H53,1733-204-08F,2023-03-31,29.0,2992.8,86.7912
H53,1733-204-08F,2023-03-31,2.0,2992.8,5.9856
H53,1733-204-04F,2023-03-31,13.0,2293.36,29.81368
H53,1733-204-04F,2023-03-31,3.0,2293.36,6.88008
H53,1733-204-04F,2023-03-31,44.0,2293.36,100.90784
H53,1733-314-01A,2023-03-31,1.0,1344.9,1.3449
H53,1914-102-01A,2023-03-31,1.0,767.93,0.76793
H53,1952-202-03B,2023-03-31,38.0,1807.57,68.68766
H53,1952-202-03B,2023-03-31,5.0,1807.57,9.03785
H53,2013-201-01A,2023-03-31,1.0,98.43,0.09843
H53,1914-103-01A,2023-03-31,1.0,466.29,0.46629
H53,2042-201-01B,2023-03-31,2.0,118.84,0.23768
H53,2042-201-01B,2023-03-31,2.0,118.84,0.23768
H53,BK54804A,2023-03-31,11.0,789.25,8.68175
H53,BK54804A,2023-03-31,2.0,789.25,1.5785
H53,BK54804A,2023-03-31,5.0,789.25,3.94625
H53,2011-202-01A,2023-03-31,1.0,254.47,0.25447
H53,2004-200-03D,2023-03-31,1.0,1198.84,1.19884
H53,1880-200-02C,2023-03-31,2.0,320.24,0.64048
H53,2037-101-01C,2023-03-31,10.0,2146.4,21.464
H53,N7535-2,2023-03-31,1.0,239.95,0.23995
H53,7498-4,2023-03-31,2.0,563.82,1.12764
H53,1944-206-01B,2023-03-31,2.0,1098.6,2.1972
H53,1944-206-01B,2023-03-31,42.0,1098.6,46.1412
H53,1944-206-01B,2023-03-31,11.0,1098.6,12.0846
H53,1944-206-01B,2023-03-31,1.0,1098.6,1.0986
H53,N1511-42-02J,2023-03-31,4.0,699.44,2.79776
H53,1990-106-01D,2023-03-31,15.0,2690.26,40.3539
H53,1990-106-01D,2023-03-31,6.0,2690.26,16.14156
H53,1990-106-01D,2023-03-31,2.0,2690.26,5.38052
H53,N1511-42-03J,2023-03-31,1.0,1108.58,1.10858
H53,1837-101-01B,2023-03-31,1.0,1277.77,1.27777
H53,1802-03-01D,2023-03-31,28.0,570.62,15.97736
H53,1802-03-01D,2023-03-31,1.0,570.62,0.57062
H53,1802-03-01D,2023-03-31,50.0,570.62,28.531
H53,1994-101-01C,2023-03-31,1.0,282.13,0.28213
H53,2053-301-01B,2023-03-31,1.0,849.58,0.84958
H53,1944-206-03B,2023-03-31,104.0,816.47,84.91288
H53,1944-206-03B,2023-03-31,4.0,816.47,3.26588
H53,1944-206-03B,2023-03-31,2.0,816.47,1.63294
H53,1631-101-01D,2023-03-31,2.0,1458.3,2.9166
H53,1631-101-01D,2023-03-31,20.0,1458.3,29.166
H53,1631-101-01D,2023-03-31,10.0,1458.3,14.583
H53,1837-103-01A,2023-03-31,1.0,638.2,0.6382
H53,1837-103-01A,2023-03-31,1.0,638.2,0.6382
H53,1664-104-01A,2023-03-31,13.0,623.24,8.10212
H53,1664-104-01A,2023-03-31,6.0,623.24,3.73944
H53,1664-104-01A,2023-03-31,1.0,623.24,0.62324
H53,2031-101-01B,2023-03-31,2.0,381.92,0.76384
H53,2053-200-02A,2023-03-31,6.0,555.65,3.3339
H53,2053-200-02A,2023-03-31,2.0,555.65,1.1113
H53,2053-200-02A,2023-03-31,28.0,555.65,15.5582
H53,1685-01-03B,2023-03-31,2.0,324.32,0.64864
H53,1671-00-03H,2023-03-31,3.0,366.5,1.0995
H53,1671-00-03H,2023-03-31,1.0,366.5,0.3665
H53,1990-208-01B,2023-03-31,3.0,2932.93,8.79879
H53,1990-208-01B,2023-03-31,54.0,2932.93,158.37822
H53,1990-208-01B,2023-03-31,2.0,2932.93,5.86586
H53,1990-208-01B,2023-03-31,2.0,2932.93,5.86586
H53,1837-303-01A,2023-03-31,1.0,661.34,0.66134
H53,1802-01-01F,2023-03-31,15.0,512.11,7.68165
H53,1802-01-01F,2023-03-31,2.0,512.11,1.02422
H53,1802-01-01F,2023-03-31,12.0,512.11,6.14532
H53,1914-200-02D,2023-03-31,2.0,899.47,1.79894
H53,1914-200-03D,2023-03-31,2.0,879.06,1.75812
H53,2035-206-01A,2023-03-31,1.0,5070.25,5.07025
H53,2035-206-01A,2023-03-31,3.0,5070.25,15.21075
H53,2035-206-01A,2023-03-31,2.0,5070.25,10.1405
H53,1802-01-02F,2023-03-31,11.0,615.52,6.77072
H53,1802-01-02F,2023-03-31,10.0,615.52,6.1552
H53,1802-01-02F,2023-03-31,1.0,615.52,0.61552
H53,1944-101-01A,2023-03-31,1.0,882.24,0.88224
H53,2053-300-01A,2023-03-31,1.0,523.9,0.5239
H53,2053-300-01A,2023-03-31,2.0,523.9,1.0478
H53,2062-200-01A,2023-03-31,2.0,359.25,0.7185
H53,2053-200-01A,2023-03-31,3.0,761.13,2.28339
H53,2053-200-01A,2023-03-31,33.0,761.13,25.11729
H53,2053-200-01A,2023-03-31,1.0,761.13,0.76113
H53,1671-00-01H,2023-03-31,19.0,614.62,11.67778
H53,1671-00-01H,2023-03-31,1.0,614.62,0.61462
H53,1671-00-01H,2023-03-31,17.0,614.62,10.44854
H53,1979-201-01B,2023-03-31,12.0,141.52,1.69824
H53,2037-102-01C,2023-03-31,1.0,2032.55,2.03255
